date,gilt,bund,ust
2025-08-05,4.537455380730584,2.64,4.22
2025-08-06,4.54655082466796,2.66,4.22
2025-08-07,4.573965657426829,2.64,4.23
2025-08-08,4.624092877563135,2.66,4.27
2025-08-11,4.592558854675078,2.69,4.27
2025-08-12,4.635470923265247,2.71,4.29
2025-08-13,4.615184399540324,2.71,4.24
2025-08-14,4.666680199919464,2.67,4.29
2025-08-15,4.717625164994864,2.75,4.33
2025-08-18,4.7748259054871465,2.76,4.34
2025-08-19,4.767905809126563,2.78,4.3
2025-08-20,4.710278073820964,2.74,4.29
2025-08-21,4.767962713826314,2.74,4.33
2025-08-22,4.7271064139975865,2.76,4.26
2025-08-26,4.782385728769874,2.74,4.26
2025-08-27,4.7658426441160415,2.71,4.24
2025-08-28,4.746203493404979,2.71,4.22
2025-08-29,4.768826970611897,2.72,4.23
2025-09-02,4.852691851712386,2.79,4.28
2025-09-03,4.80120903092506,2.79,4.22
2025-09-04,4.782596383449967,2.73,4.17
2025-09-05,4.698020626818514,2.73,4.1
2025-09-08,4.6606121402840355,2.68,4.05
2025-09-09,4.6801745946337965,2.68,4.08
2025-09-10,4.686366118878094,2.67,4.04
2025-09-11,4.6563339575219285,2.68,4.01
2025-09-12,4.7049293964775725,2.71,4.06
2025-09-15,4.680546243332296,2.71,4.05
2025-09-16,4.690256556294791,2.71,4.04
2025-09-17,4.668595025358488,2.7,4.06
2025-09-18,4.716077539375058,2.7,4.11
2025-09-19,4.767186000157019,2.75,4.14
2025-09-22,4.75380431104329,2.76,4.15
2025-09-23,4.743341866262027,2.77,4.12
2025-09-24,4.731353882270318,2.76,4.16
2025-09-25,4.800367446820696,2.76,4.18
2025-09-26,4.801775498606041,2.78,4.2
2025-09-29,4.7587827942044525,2.75,4.15
2025-09-30,4.762835190605581,2.73,4.16
2025-10-01,4.755877550669189,2.75,4.12
2025-10-02,4.769698155216199,2.73,4.1
2025-10-03,4.753452043203972,2.72,4.13
2025-10-06,4.785109864651178,2.74,4.18
2025-10-07,4.794594958132551,2.76,4.14
2025-10-08,4.769726363561681,2.72,4.13
2025-10-09,4.808588361570833,2.72,4.14
2025-10-10,4.7326488143282495,2.71,4.05
2025-10-14,4.6465968186811875,2.62,4.03
2025-10-15,4.596397674799728,2.61,4.05
2025-10-16,4.573288357496894,2.6,3.99
2025-10-17,4.596265707577339,2.58,4.02
2025-10-20,4.5732400090730305,2.62,4.0
2025-10-21,4.543292977367049,2.6,3.98
2025-10-22,4.479854818902298,2.58,3.97
2025-10-23,4.479190005327036,2.61,4.01
2025-10-24,4.491031729043259,2.64,4.02
2025-10-27,4.467564837825374,2.66,4.01
2025-10-28,4.461845954941333,2.64,3.99
2025-10-29,4.459479656918498,2.65,4.08
